method,schema_validity,semantic_consistency,compile_success,backtest_success,risk_violation,repair_success,safe_rejection_accuracy,end_to_end_success
live_raw_qyir::qwen3.6-flash,0.8,0.6,0.7,0.7,0.4,0.0,0.0,0.25
live_qsga_qyir::qwen3.6-flash,0.8,0.6,0.7,0.7,0.3,0.0,1.0,0.4166666666666667
live_raw_qyir::deepseek-v4-flash,0.4,0.3,0.4,0.4,0.3,0.0,0.0,0.08333333333333333
live_qsga_qyir::deepseek-v4-flash,0.6,0.4,0.5,0.5,0.3,0.0,1.0,0.25
live_raw_qyir::kimi-k2.6,0.5,0.4,0.5,0.5,0.3,0.0,0.0,0.08333333333333333
live_qsga_qyir::kimi-k2.6,0.6,0.6,0.6,0.6,0.3,0.0,1.0,0.4166666666666667
