method,schema_validity,semantic_consistency,compile_success,backtest_success,risk_violation,repair_success,safe_rejection_accuracy,clarification_accuracy,construction_success,end_to_end_success
direct_code,0.0,0.7272727272727273,1.0,0.7272727272727273,0.2727272727272727,0.0,1.0,0.0,0.7272727272727273,0.5
direct_json,0.7272727272727273,0.6727272727272727,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.0,1.0,0.0,0.3090909090909091,0.4
qsga_no_repair,0.5818181818181818,0.5636363636363636,0.5818181818181818,0.5818181818181818,0.2909090909090909,0.0,1.0,1.0,0.2727272727272727,0.5
qsga_no_risk_audit,1.0,0.9454545454545454,1.0,1.0,0.4727272727272727,1.0,1.0,1.0,0.4727272727272727,0.6375
qsga_full,1.0,0.9454545454545454,1.0,1.0,0.0,1.0,1.0,1.0,0.9454545454545454,0.9625
